"Tree.ID","X.Ally","Y.Ally","Elevation.Ally","Total.Height.Ally","Height.To.Crown.Base.Ally","Max.Crown.Diameter.Ally","Min.Crown.Diameter.Ally","Crown.Rotation.Ally","R.Ally","G.Ally","B.Ally","DBH.Ally","Lean.Angle.From.Vertical.Ally","Lean.Azimuth.Ally","Status.Code.Ally","TopX.Ally","TopY.Ally","X.Bob","Y.Bob","Elevation.Bob","Total.Height.Bob","Height.To.Crown.Base.Bob","Max.Crown.Diameter.Bob","Min.Crown.Diameter.Bob","Crown.Rotation.Bob","R.Bob","G.Bob","B.Bob","DBH.Bob","Lean.Angle.From.Vertical.Bob","Lean.Azimuth.Bob","Status.Code.Bob","TopX.Bob","TopY.Bob","diffX","diffY","diffTopX","diffTopY","diff","diffTop","PlotID","Study","Year","Plot_Number","Plot_Name","Tag_Num","Species","DBH_cm","LiDAR_visible","Distance","Azimuth","Anomaly_Num","Anomaly1","Anomaly2","Anomaly3","Bear_damage_percent","Note","Xfield","Yfield","hanusHt","fvsHt","origdiffX.Ally","origdiffY.Ally","origdiff.Ally","origdiffX.Bob","origdiffY.Bob","origdiff.Bob","heightdiff"
"34_3_TSHE",411598.8195,5276979.9185,215.528102,28.359287,17.015572,3.892792,3.892792,0,244,120,50,0.329,1.307496,106.012288,0,411599.441499833,5276979.74000004,411598.820738,5276979.752027,-32767,28.347593,17.008555,3.892792,3.892792,0,244,120,50,0.329,1.554699,81.698916,0,411599.581786788,5276979.86306672,-0.00123799999710172,0.166472999379039,-0.140286954527255,-0.123066673986614,0.166477602596404,0.186616815578499,34,"T3",2021,34,"34_A_Alt-2_EVDP_3",3,"TSHE",32.9,"Y",10.7,128,0,0,NA,NA,NA,NA,411598.919415064,5276979.89942221,29.8147436035945,24.3299518312527,-0.0999150639981963,0.0190777899697423,0.101720116417026,-0.0986770640010945,-0.147395209409297,0.177376747959496,0.0116939999999985
"34_30_PSME",411603.7355,5276995.0665,213.42578,32.945754,19.767453,4.164745,4.164745,0,244,120,50,0.371,0.839696,66.567678,0,411604.178500113,5276995.25850005,411603.479287,5276995.034567,-32767,32.834503,19.700702,4.164745,4.164745,0,244,120,50,0.371,1.610835,68.285044,0,411604.336787166,5276995.37606707,0.256212999986019,0.0319329993799329,-0.158287052239757,-0.117567023262382,0.258195309429189,0.197171995642203,34,"T3",2021,34,"34_A_Alt-2_EVDP_3",30,"PSME",37.1,"Y",14.6,58,0,0,NA,NA,NA,NA,411602.869202204,5276994.22382126,29.6700405509073,26.0296551957178,0.866297796019353,0.842678739689291,1.20854430192373,0.610084796033334,0.810745740309358,1.01464876375069,0.111251000000003
"34_31_PSME",411601.4075,5276990.975,214.119638,29.78182,17.869092,3.862081,3.862081,0,244,120,50,0.331,1.518013,57.921486,0,411602.075999864,5276991.39399992,411601.412287,5276991.046567,-32767,29.884131,17.930478,3.862081,3.862081,0,244,120,50,0.331,2.355216,63.028085,0,411602.506786872,5276991.60356693,-0.00478700001258403,-0.0715670008212328,-0.430787008430343,-0.209567007608712,0.0717269194631055,0.479057175408567,34,"T3",2021,34,"34_A_Alt-2_EVDP_3",31,"PSME",33.1,"Y",11.4,70,0,0,NA,NA,NA,NA,411601.200195877,5276990.38602963,27.2092181480222,24.138006741977,0.207304122974165,0.588970369659364,0.624388577521062,0.212091122986749,0.660537370480597,0.693752306123159,0.102311
"34_35_TSHE",411609.25,5276988.736,211.486924,30.038167,18.0229,4.889763,4.889763,0,244,120,50,0.452,0.946084,351.477803,0,411609.176500033,5276989.2264998,411608.720426,5276989.264168,-32767,29.783334,17.87,4.889763,4.889763,0,244,120,50,0.452,1.027706,76.699023,0,411609.240286961,5276989.38706728,0.529573999985587,-0.528168000280857,-0.0637869276688434,-0.160567482002079,0.747937201896933,0.172773517698513,34,"T3",2021,34,"34_A_Alt-2_EVDP_3",35,"TSHE",45.2,"Y",17.5,85,0,0,NA,NA,NA,NA,411607.921107217,5276988.0122255,36.8420066661577,30.5610186037358,1.328892783029,0.723774499259889,1.51321034709834,0.799318783043418,1.25194249954075,1.48535199164452,0.254833000000001
"34_36_TSHE",411605.6695,5276984.577,212.486767,28.670996,17.202598,3.91962,3.91962,0,244,120,50,0.332,2.696939,3.165695,0,411605.744000011,5276985.92400017,411605.744042,5276985.606468,-32767,28.730506,17.238304,3.91962,3.91962,0,244,120,50,0.332,0.949002,355.086772,0,411605.703287102,5276986.08056715,-0.0745419999584556,-1.02946800086647,0.0407129088998772,-0.156566984020174,1.032163201517,0.161773797125069,34,"T3",2021,34,"34_A_Alt-2_EVDP_3",36,"TSHE",33.2,"Y",14.3,93,0,0,NA,NA,NA,NA,411604.768102347,5276985.73859583,30.0051278493791,24.4976246925742,0.901397653040476,-1.16159583069384,1.4703137769851,0.975939652998932,-0.132127829827368,0.984843119339606,0.0595099999999995
"34_39_PSME",411592.844,5276983.7525,218.131889,30.291725,18.175034,3.629696,3.629696,0,244,120,50,0.302,1.10317,76.464144,0,411593.41100013,5276983.88900003,411592.693287,5276983.659067,-32767,30.227843,18.136705,3.629696,3.629696,0,244,120,50,0.302,1.484096,67.349172,0,411593.415787222,5276983.96056709,0.150712999980897,0.0934330001473427,-0.00478709110757336,-0.0715670641511679,0.177324938685384,0.071726988731506,34,"T3",2021,34,"34_A_Alt-2_EVDP_3",39,"PSME",30.2,"Y",3.9,147,0,0,NA,NA,NA,NA,411592.611792237,5276983.21618478,25.334844872895,22.6856007325933,0.232207763008773,0.536315220408142,0.584426608602802,0.0814947630278766,0.442882220260799,0.450317729413472,0.0638819999999996
"34_4_PSME",411600.412753,5276974.752096,214.87431,33.238634,19.94318,4.428419,4.428419,0,244,120,50,0.408,0.432046,62.713084,0,411600.63550023,5276974.86700001,411600.093787,5276974.951567,-32767,33.068354,19.841012,4.428419,4.428419,0,244,120,50,0.408,0.876563,79.867365,0,411600.591786752,5276975.04056695,0.318965999991633,-0.199470999650657,0.0437134784297086,-0.173566942103207,0.376202058543404,0.178987015136525,34,"T3",2021,34,"34_A_Alt-2_EVDP_3",4,"PSME",40.8,"Y",15.1,141,0,0,NA,NA,NA,NA,411599.990437905,5276974.75209598,31.8302991375727,27.6776187839001,0.422315094969235,2.04890966415405e-08,0.422315094969236,0.103349094977602,0.199471020139754,0.224654675687562,0.170279999999998
"34_44_PSME",411582.8225,5276989.637,222.410715,31.75852,19.055111,3.799127,3.799127,0,244,120,50,0.323,0.817731,73.464215,0,411583.257000086,5276989.76600003,411582.738787,5276989.776066,-32767,31.74007,19.044041,3.799127,3.799127,0,244,120,50,0.323,0.950645,83.293341,0,411583.261786934,5276989.83756599,0.0837129999999888,-0.139065999537706,-0.00478684809058905,-0.0715659661218524,0.162318263286728,0.0717258769315266,34,"T3",2021,34,"34_A_Alt-2_EVDP_3",44,"PSME",32.3,"Y",8,286,0,0,NA,NA,NA,NA,411582.797606433,5276988.69209885,26.7000939421591,23.7445435825764,0.0248935670242645,0.944901149719954,0.945229005279293,-0.0588194329757243,1.08396714925766,1.0855618390333,0.0184500000000014
"34_45_PSME",411582.2955,5276992.3155,222.321727,30.777652,18.466591,3.402301,3.402301,0,244,120,50,0.275,2.085423,64.933658,0,411583.309999843,5276992.78999992,411582.321287,5276992.406067,-32767,30.785152,18.471091,3.402301,3.402301,0,244,120,50,0.275,2.034557,65.369485,0,411583.314787204,5276992.8615671,-0.0257870000205003,-0.0905670002102852,-0.00478736060904339,-0.0715671814978123,0.0941666124332137,0.0717271238036339,34,"T3",2021,34,"34_A_Alt-2_EVDP_3",45,"PSME",27.5,"Y",9.6,300,0,0,NA,NA,NA,NA,411582.173856124,5276991.287,23.5146188054577,21.2643819751917,0.121643876016606,1.0285000000149,1.03566861621032,0.147430876037106,1.11906700022519,1.12873682238247,0.00750000000000028
"34_46_PSME",411586.501,5276991.4495,220.745139,32.292389,19.375434,4.208511,4.208511,0,244,120,50,0.377,1.316255,147.916836,0,411586.895000038,5276990.82099994,411586.493287,5276990.871067,-32767,32.021007,19.212605,4.208511,4.208511,0,244,120,50,0.377,0.725737,86.972417,0,411586.898304141,5276990.89248857,0.0077129999990575,0.578433000482619,-0.00330410338938236,-0.0714886281639338,0.57848442193054,0.0715649429257713,34,"T3",2021,34,"34_A_Alt-2_EVDP_3",46,"PSME",37.7,"Y",5.7,308,0,0,NA,NA,NA,NA,411585.996038704,5276989.99627041,30.027597938486,26.3031959373739,0.504961295984685,1.4532295903191,1.53846096883267,0.497248295985628,0.874796589836478,1.0062429833048,0.271382000000003
